user_id,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Cluster
UID_0000,103619470,87436495,128028608,977792512,68719626,92850988,0,0,834790606,0,78147778,64002104,70902765,57994125,45738777,15242111,0,126303443,77270592,102464504,0,0,0,121002691,0
UID_0001,201705719,236312373,66191127,1683253997,156699717,63933149,187016920,143535373,71862483,749188132,61464618,133537233,367721418,115749804,82658586,214393221,43883538,139313919,2010292468,37864896,77750853,1963995433,35139133,209465360,0
UID_0002,0,0,0,0,0,0,1968898183,78474288,0,113323289,32239924,110499054,40699869,0,0,130129028,43986693,0,106366934,101694673,135928868,0,38990865,0,0
UID_0003,132112481,124601808,65096372,198906063,53257226,173893683,84467927,50839724,151535240,1874979894,47432657,97274986,151971755,34550411,66415554,224664513,1727295955,219131515,1023071506,109334001,143844204,145434866,111817832,133936549,0
UID_0004,39652580,29827212,59399526,100174394,62255756,70007020,561291499,0,142045168,0,0,115577840,1543827000,106389656,139665352,94928671,0,91692565,59223705,86458860,104925949,43885394,33115236,63655708,0
UID_0005,355181241,124068538,51327181,750940281,46303529,0,45310096,0,105600031,77552555,126183620,46237299,0,51341071,21025222,57494619,37902945,80562322,0,82202903,51586557,0,0,43908524,0
UID_0006,111075903,152791594,206287832,591220406,125780615,412203113,106263418,171020280,119655125,1744968746,61459219,89685066,182799023,174691019,179713537,29398086,37038811,15953791,2536904197,108298403,48199477,147115613,173863628,356137969,0
UID_0007,78503923,140549603,0,0,0,0,57716690,39443828,0,99844227,2051253085,0,140009391,0,55316513,1363821316,0,0,57358514,0,53178258,98905785,0,68130410,0
UID_0008,8532014214,11198416803,12475882595,244229720,454138757,333819527,116256681,363310245,506514130,106320372,216485145,510223740,396821644,202423939,113028255,304438816,204341603,1092627777,325997034,337071135,523589915,333188426,372662536,6239443400,1
UID_0009,132178230,64474470,0,134411426,82854817,56136998,94270819,0,473490002,0,144674172,59993747,101245461,95028722,116998774,42789493,99910215,1167051508,116949707,1877757516,139304416,0,92739857,0,0
UID_0010,4615120000,12723817577,8610655813,138532829,296336531,1474873305,464246291,195468855,1225639284,369488995,194167142,499456822,200875342,267414082,337558646,216237206,326158593,158382371,469477297,214359576,383739788,251863846,190250896,12926272863,1
